Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C16, C4, C5, C8, C9",0402,10,100n,
"C14, C15, C18, C19, C20, C21, C6, C7",0402,8,1u,
C17,0603,1,10u,
"C2, C3",0402,2,27p,
"J1, J2",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01_Pin,
"R1, R10, R11, R12, R3, R7, R8, R9",0603,8,10k,
"R13, R14",0603,2,5k1,
"R2, R6",0603,2,1k,
"R4, R5",0603,2,27,
"SW1, SW2",lcsc_TS-3025-A-A-B_push_button,2,TS-3025-B-C-B ,C2689695
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
"U3, U5, U6",RotaryEncoder_Alps_EC12E_Vertical_H20mm,3,Rotary encoder,C470603
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LD1117D33,C157440
USB1,USBC_16P,1,~,C2765186
Y1,Crystal_SMD_HC49-SD,1,12Mhz,C2889145
