Designator,Mid X,Mid Y,Rotation,Layer
C1,125.1712,-46.99,270.0,top
C10,140.208,-54.864,0.0,top
C11,138.43,-49.784,90.0,top
C12,127.0,-53.086,180.0,top
C13,140.208,-57.404,0.0,top
C14,71.628,-57.404,0.0,top
C15,76.708,-57.404,180.0,top
C16,140.97,-42.164,180.0,top
C17,144.018,-41.91,0.0,top
C18,89.408,-57.404,0.0,top
C19,94.488,-57.404,180.0,top
C2,128.592,-66.294,180.0,top
C20,107.188,-57.404,0.0,top
C21,112.268,-57.404,180.0,top
C3,138.752,-66.294,0.0,top
C4,136.1948,-64.2366,270.0,top
C5,134.9248,-64.2366,270.0,top
C6,135.89,-49.784,90.0,top
C7,137.16,-49.784,90.0,top
C8,127.0,-54.356,180.0,top
C9,140.208,-56.134,0.0,top
J1,146.558,-60.198,0.0,top
J2,146.558,-64.008,0.0,top
R1,112.3696,-36.322,0.0,top
R10,94.488,-59.182,0.0,top
R11,107.188,-59.182,180.0,top
R12,112.268,-59.182,0.0,top
R13,132.581015,-39.17588,270.0,top
R14,136.899015,-39.17588,270.0,top
R2,135.6106,-66.294,0.0,top
R3,120.142,-38.1,0.0,top
R4,134.112,-44.704,90.0,top
R5,135.6868,-44.704,90.0,top
R6,120.142,-36.322,0.0,top
R7,71.628,-59.182,180.0,top
R8,76.708,-59.182,0.0,top
R9,89.408,-59.182,180.0,top
SW1,114.046,-33.02,270.0,top
SW2,121.92,-33.02,270.0,top
U1,128.7272,-46.99,90.0,top
U2,133.6379,-57.458,0.0,top
U3,71.656,-54.998,90.0,top
U4,142.494,-46.99,270.0,top
U5,89.436,-54.998,90.0,top
U6,107.228,-55.064,90.0,top
USB1,134.874,-32.766,180.0,top
Y1,133.672,-69.977,180.0,top
