Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C2, C6, C7",0201,10,100n,C14663
C3,0402,1,10u,C15525
"C4, C5",0201,2,30p,C1658
"C8, C9",0402,2,1u,C52923
"D1, D2, D3, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,C2761795
"R1, R2",0402,2,5k1,C25905
"R3, R5",0402,2,10k,C25744
"R4, R6",0402,2,1k,C11702
"R7, R8",0402,2,27,
"SW1, SW2",TS-1187A-B-A-B,2,TS-3025-B-C-B ,C318884
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U2,SOT-223-3_TabPin2,1,LD1117S33TR,C6186
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
USB1,USBC_16P,1,~,C2765186
"VR1, VR2, VR3, VR4",PTA45432015CPB503,4,slide_pot,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12Mhz,C9002
