Designator,Mid X,Mid Y,Rotation,Layer
C1,177.5,-58.3,90.0,top
C10,195.0,-67.0,0.0,top
C11,180.9,-71.1,180.0,top
C12,180.9,-69.5,180.0,top
C13,180.9,-72.7,180.0,top
C14,195.0,-68.5625,0.0,top
C15,187.8,-78.1,270.0,top
C2,194.0,-58.3,270.0,top
C3,194.0,-62.4,270.0,top
C4,183.725,-77.3,180.0,top
C5,187.9,-82.0,270.0,top
C6,180.9,-74.4,180.0,top
C7,190.4,-78.2,270.0,top
C8,191.1,-65.7,90.0,top
C9,192.7,-65.675,90.0,top
D1,122.0,-118.1875,0.0,top
D2,136.5,-118.1875,0.0,top
D3,151.0,-118.1875,0.0,top
D4,165.5,-118.1875,0.0,top
R1,185.4,-55.0,180.0,top
R2,190.0,-55.0,0.0,top
R3,175.8,-60.9,270.0,top
R4,177.475048,-63.7,90.0,top
R5,190.95,-99.3625,90.0,top
R6,186.1,-78.1,270.0,top
R7,188.0,-65.7,90.0,top
R8,189.5,-65.7,90.0,top
SW1,186.6,-92.3125,0.0,top
SW2,186.6,-99.3125,0.0,top
U1,181.175048,-61.462554,90.0,top
U2,188.7,-59.8,180.0,top
U3,187.375048,-71.662554,0.0,top
USB1,188.024985,-49.02262,180.0,top
VR1,120.25,-111.3875,90.0,top
VR2,134.75,-111.4375,90.0,top
VR3,149.25,-111.4875,90.0,top
VR4,163.75,-111.4875,90.0,top
Y1,184.9,-81.95,0.0,top
