Designator,Mid X,Mid Y,Rotation,Layer
C1,137.2,-92.6375,90.0,top
C10,154.7,-101.3375,0.0,top
C11,140.6,-105.4375,180.0,top
C12,140.6,-103.8375,180.0,top
C13,140.6,-107.0375,180.0,top
C14,154.7,-102.9,0.0,top
C15,147.5,-112.4375,270.0,top
C2,153.7,-92.6375,270.0,top
C3,153.7,-96.7375,270.0,top
C4,143.425,-111.6375,180.0,top
C5,147.6,-116.3375,270.0,top
C6,140.6,-108.7375,180.0,top
C7,150.1,-112.5375,270.0,top
C8,150.8,-100.0375,90.0,top
C9,152.4,-100.0125,90.0,top
R1,147.505015,-73.828,180.0,top
R2,152.105015,-73.828,0.0,top
R3,135.5,-95.2375,270.0,top
R4,137.175048,-98.0375,90.0,top
R5,173.35,-106.1,270.0,top
R6,145.8,-112.4375,270.0,top
R7,147.7,-100.0375,90.0,top
R8,149.2,-100.0375,90.0,top
SW1,168.1,-99.05,0.0,top
SW2,168.1,-106.05,0.0,top
U1,140.875048,-95.800054,0.0,top
U2,148.4,-94.1375,0.0,top
U3,147.075048,-106.000054,90.0,top
USB1,150.13,-67.85062,180.0,top
VR1,127.6,-104.275,90.0,bottom
VR2,142.6,-104.275,90.0,bottom
VR3,157.6,-104.275,90.0,bottom
VR4,172.6,-104.275,90.0,bottom
Y1,144.6,-116.2875,0.0,top
